Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
1,1,25,sainz,Carlos,Sainz,15,Singapore Grand Prix
2,2,18,norris,Lando,Norris,15,Singapore Grand Prix
3,3,16,hamilton,Lewis,Hamilton,15,Singapore Grand Prix
4,4,12,leclerc,Charles,Leclerc,15,Singapore Grand Prix
5,5,10,max_verstappen,Max,Verstappen,15,Singapore Grand Prix
6,6,8,gasly,Pierre,Gasly,15,Singapore Grand Prix
7,7,6,piastri,Oscar,Piastri,15,Singapore Grand Prix
8,8,4,perez,Sergio,Pérez,15,Singapore Grand Prix
9,9,2,lawson,Liam,Lawson,15,Singapore Grand Prix
10,10,1,kevin_magnussen,Kevin,Magnussen,15,Singapore Grand Prix
11,11,0,albon,Alexander,Albon,15,Singapore Grand Prix
12,12,0,zhou,Guanyu,Zhou,15,Singapore Grand Prix
13,13,0,hulkenberg,Nico,Hülkenberg,15,Singapore Grand Prix
14,14,0,sargeant,Logan,Sargeant,15,Singapore Grand Prix
15,15,0,alonso,Fernando,Alonso,15,Singapore Grand Prix
16,16,0,russell,George,Russell,15,Singapore Grand Prix
17,R,0,bottas,Valtteri,Bottas,15,Singapore Grand Prix
18,R,0,ocon,Esteban,Ocon,15,Singapore Grand Prix
19,R,0,tsunoda,Yuki,Tsunoda,15,Singapore Grand Prix
20,W,0,stroll,Lance,Stroll,15,Singapore Grand Prix
1,1,26,max_verstappen,Max,Verstappen,16,Japanese Grand Prix
2,2,18,norris,Lando,Norris,16,Japanese Grand Prix
3,3,15,piastri,Oscar,Piastri,16,Japanese Grand Prix
4,4,12,leclerc,Charles,Leclerc,16,Japanese Grand Prix
5,5,10,hamilton,Lewis,Hamilton,16,Japanese Grand Prix
6,6,8,sainz,Carlos,Sainz,16,Japanese Grand Prix
7,7,6,russell,George,Russell,16,Japanese Grand Prix
8,8,4,alonso,Fernando,Alonso,16,Japanese Grand Prix
9,9,2,ocon,Esteban,Ocon,16,Japanese Grand Prix
10,10,1,gasly,Pierre,Gasly,16,Japanese Grand Prix
11,11,0,lawson,Liam,Lawson,16,Japanese Grand Prix
12,12,0,tsunoda,Yuki,Tsunoda,16,Japanese Grand Prix
