,Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
245,8,8,4,ocon,Esteban,Ocon,12.0,Belgian Grand Prix
246,9,9,2,stroll,Lance,Stroll,12.0,Belgian Grand Prix
247,10,10,1,tsunoda,Yuki,Tsunoda,12.0,Belgian Grand Prix
248,11,11,0,gasly,Pierre,Gasly,12.0,Belgian Grand Prix
249,12,12,0,bottas,Valtteri,Bottas,12.0,Belgian Grand Prix
250,13,13,0,zhou,Guanyu,Zhou,12.0,Belgian Grand Prix
251,14,14,0,albon,Alexander,Albon,12.0,Belgian Grand Prix
252,15,15,0,kevin_magnussen,Kevin,Magnussen,12.0,Belgian Grand Prix
253,16,16,0,ricciardo,Daniel,Ricciardo,12.0,Belgian Grand Prix
254,17,17,0,sargeant,Logan,Sargeant,12.0,Belgian Grand Prix
255,18,18,0,hulkenberg,Nico,Hülkenberg,12.0,Belgian Grand Prix
256,19,R,0,sainz,Carlos,Sainz,12.0,Belgian Grand Prix
257,20,R,0,piastri,Oscar,Piastri,12.0,Belgian Grand Prix
258,1,1,25,max_verstappen,Max,Verstappen,13.0,Dutch Grand Prix
259,2,2,19,alonso,Fernando,Alonso,13.0,Dutch Grand Prix
260,3,3,15,gasly,Pierre,Gasly,13.0,Dutch Grand Prix
261,4,4,12,perez,Sergio,Pérez,13.0,Dutch Grand Prix
262,5,5,10,sainz,Carlos,Sainz,13.0,Dutch Grand Prix
263,6,6,8,hamilton,Lewis,Hamilton,13.0,Dutch Grand Prix
264,7,7,6,norris,Lando,Norris,13.0,Dutch Grand Prix
265,8,8,4,albon,Alexander,Albon,13.0,Dutch Grand Prix
266,9,9,2,piastri,Oscar,Piastri,13.0,Dutch Grand Prix
267,10,10,1,ocon,Esteban,Ocon,13.0,Dutch Grand Prix
268,11,11,0,stroll,Lance,Stroll,13.0,Dutch Grand Prix
269,12,12,0,hulkenberg,Nico,Hülkenberg,13.0,Dutch Grand Prix
270,13,13,0,lawson,Liam,Lawson,13.0,Dutch Grand Prix
271,14,14,0,bottas,Valtteri,Bottas,13.0,Dutch Grand Prix
272,15,15,0,tsunoda,Yuki,Tsunoda,13.0,Dutch Grand Prix
273,16,16,0,kevin_magnussen,Kevin,Magnussen,13.0,Dutch Grand Prix
274,17,17,0,russell,George,Russell,13.0,Dutch Grand Prix
275,18,R,0,zhou,Guanyu,Zhou,13.0,Dutch Grand Prix
276,19,R,0,leclerc,Charles,Leclerc,13.0,Dutch Grand Prix
